contigName	sample1	sample2	sample3
k99_642	50.4039	57.7116	92.4641
k99_644	7.74293	19.6532	75.8901
k99_647	69.0172	64.1198	41.3774
k99_648	79.3165	81.0189	110.013
k99_655	40.6781	35.4648	54.4871
k99_658	79.8472	84.5644	106.577
k99_662	10.1487	18.4778	71.8709
k99_664	24.9872	15.0156	4.8407
k99_671	68.2861	71.2637	45.0063
k99_674	10.1266	6.0114	0
k99_675	179.105	303.464	215.116
k99_678	81.0594	83.8396	103.029
k99_683	82.603	79.4412	106.168
k99_684	15.6425	22.6456	73.9469
k99_686	71.1688	65.4316	42.1043
k99_693	72.8528	61.0267	44.7719
k99_696	79.3172	81.3346	98.4204
k99_702	11.0375	21.7964	72.7358
k99_704	103.528	116.84	96.3886
k99_705	80.2151	83.5644	107.392
k99_706	78.6878	81.9748	107.02
k99_707	80.2135	82.659	106.442
k99_712	104.05	115.13	94.8654
k99_716	74.7038	62.5852	47.1365
k99_720	79.4708	84.5047	112.292
k99_723	78.8942	74.4652	83.1654
k99_729	9.29281	5.73823	0
k99_730	25.8333	14.7889	4.79442
k99_731	83.5446	85.8014	116.995
k99_732	80.8254	82.4035	108.263
k99_733	82.4321	86.4546	110.798
k99_748	78.2956	80.1377	108.213
k99_751	82.087	79.3953	107.92
k99_752	80.1482	85.823	117.964
k99_756	83.1026	86.7794	106.276
k99_763	99.7519	117.26	95.8349
k99_766	78.4934	85.7533	108.95
k99_767	83.9525	85.5516	111.384
k99_768	82.657	85.2563	112.376
k99_776	83.9246	83.0886	114.165
k99_779	82.3679	86.275	109.112
k99_787	74.4207	83.9903	110.159
k99_791	78.253	78.4777	98.1
k99_796	82.0069	85.4771	112.261
k99_802	8.37059	22.2236	65.9484
k99_804	80.2135	84.5671	110.665
k99_812	10.6576	20.0926	67.6223
k99_819	69.0797	62.2696	49.3848
k99_829	81.3035	83.6407	105.778
k99_831	10.0226	19.7862	67.9323
k99_833	77.982	86.3879	111.73
k99_836	30.9398	51.4665	38.4069
k99_839	79.5144	84.1673	109.413
k99_846	82.7583	78.7764	110.389
k99_850	68.7671	65.5926	43.1621
k99_851	81.2337	81.7231	118.103
k99_859	76.9536	79.3385	111.132
k99_860	77.7651	84.7442	106.484
k99_866	72.1871	72.3158	44.8386
k99_870	8.94812	25.5077	63.2991
k99_873	84.1601	85.4476	109.34
k99_876	73.1482	67.2424	42.3384
k99_883	80.3889	85.4057	108.798
k99_888	70.1413	64.4636	43.2649
k99_890	30.2901	50.5806	37.3193
k99_894	79.279	82.2979	104.904
k99_895	79.9806	88.21	117.076
k99_896	103.262	117.533	94.1659
k99_899	79.6971	83.9896	105.942
k99_900	76.5444	81.5835	106.355
k99_902	67.514	64.2966	48.2903
k99_903	10.3876	21.043	64.4066
k99_905	83.45	86.7665	109.942
k99_906	85.043	85.088	107.748
k99_911	82.1042	84.1314	110.351
k99_918	79.9386	84.4001	111.033
k99_922	83.329	81.9354	111.736
k99_925	81.3822	79.9489	107.231
k99_934	78.0706	83.408	111.135
k99_939	10.2483	5.2103	0
k99_947	79.1285	83.5239	108.935
k99_954	80.8867	84.7816	115.551
k99_961	99.9865	111.479	98.5782
k99_968	72.527	78.8042	107.85
k99_970	10.6586	5.12899	0
k99_974	27.6155	35.8591	79.8304
k99_978	80.0224	87.1904	116.077
k99_979	104.101	118.086	95.9707
k99_980	80.9047	86.0693	108.62
k99_981	86.0653	65.7601	70.1849
k99_983	102.179	116.081	95.3508
k99_986	70.6224	73.4238	50.2537
k99_988	30.6868	50.578	36.9406
k99_989	83.8449	83.0169	113.163
k99_995	79.4175	85.7599	106.743
k99_1003	77.5631	83.3434	104.833
k99_1006	72.2626	64.7717	44.6516
k99_1012	100.042	116.305	94.9002
k99_1015	73.7695	77.9805	91.626
k99_1021	81.7094	84.0558	106.909
k99_1022	81.6328	88.7467	110.241
k99_1026	59.6522	63.7973	105.829
k99_1030	76.831	79.3597	112.24
k99_1032	82.6409	86.9491	114.261
k99_1034	82.3993	82.9628	113.456
k99_1037	10.3171	4.98265	0
k99_1038	83.8278	81.0367	109.935
k99_1046	81.559	74.7568	109.05
k99_1048	101.427	116.372	95.8163
k99_1054	9.65128	5.11758	0
k99_1058	87.0968	82.6581	112.731
k99_1061	79.8401	85.6547	108.072
k99_1065	82.0334	85.5557	110.53
k99_1066	77.5265	84.8241	107.69
k99_1068	102.494	117.121	95.7353
k99_1069	72.1409	63.9067	43.9421
k99_1073	80.2304	84.0316	108.749
k99_1077	101.344	117.147	96.7551
k99_1082	77.1824	85.0291	104.29
k99_1084	54.5115	27.3932	0.0972919
k99_1090	82.1193	83.6985	110.511
k99_1093	99.198	56.3347	19.5592
k99_1103	73.3689	79.6418	109.536
k99_1104	80.2036	88.2997	112.89
k99_1108	72.9771	68.8215	46.2883
k99_1114	80.4104	82.8927	108.153
k99_1117	76.225	51.2689	53.9652
k99_1119	84.6467	84.0295	112.121
k99_1120	75.3016	86.5704	117.728
k99_1124	102.893	115.992	94.4563
k99_1126	97.404	112.522	95.0317
k99_1127	85.9708	82.2951	113.607
k99_1128	83.0763	85.3212	104.821
k99_1139	41.589	35.4986	54.5855
k99_1141	69.6466	65.5901	47.1599
k99_1152	103.656	116.779	98.0984
k99_1153	84.2669	89.6254	113.935
k99_1160	9.03314	20.3019	74.6031
k99_1163	167.251	181.224	192.128
k99_1164	73.3503	85.6983	103.2
k99_1165	79.2739	86.9777	111.067
k99_1167	9.75542	19.4024	71.3506
k99_1168	82.8704	81.7154	99.6058
k99_1171	26.4894	17.108	4.64372
k99_1176	19.8332	8.20321	0
k99_1177	9.88261	20.5203	66.231
k99_1181	71.2239	64.9378	43.5475
k99_1185	68.9675	60.3747	50.1036
k99_1186	72.2577	67.5309	44.8483
k99_1189	75.4009	83.779	109.893
k99_1195	75.9404	86.3163	105.968
k99_1202	82.4002	87.7314	105.262
k99_1206	78.4278	75.6582	109.552
k99_1216	79.4247	80.3006	108.66
k99_1219	81.312	87.9902	113.216
k99_1222	85.8682	66.105	69.2586
k99_1223	96.4329	58.4522	17.3599
k99_1224	409.981	443.017	584.937
k99_1232	76.0339	83.1016	113.377
k99_1236	82.436	86.5556	113.307
k99_1239	74.9624	83.73	103.887
k99_1241	85.4694	81.0392	116.235
k99_1243	77.6027	83.3588	103.746
k99_1244	78.3092	88.7138	111.941
k99_1245	78.5711	86.6488	109.689
k99_1246	56.1973	81.2304	64.1478
k99_1250	9.49537	18.7505	73.9302
k99_1253	100.946	117.08	96.8966
k99_1254	80.4741	82.8437	108.666
k99_1258	75.3501	82.8254	109.672
k99_1261	81.836	85.2228	113.102
k99_1262	79.6815	81.8766	106.795
k99_1264	84.1987	85.0869	107.287
k99_1265	82.1054	86.9246	107.329
k99_1269	82.199	78.5719	108.24
k99_1270	82.1847	82.5916	112.194
k99_1277	14.0111	25.8131	68.1693
k99_1283	80.4362	85.8737	111.087
k99_1287	148.293	132.369	92.1857
k99_1289	83.6428	84.0238	106.301
k99_1294	26.4212	15.7387	5.0359
k99_1299	87.2135	65.1954	69.732
k99_1302	84.4903	85.0709	114.84
k99_1303	82.1881	83.128	110.344
k99_1312	84.5496	85.3745	110.112
k99_1313	78.0405	85.0344	111.004
k99_1315	80.5669	85.6734	108.431
k99_1320	82.6239	85.1333	111.095
k99_1324	85.7359	80.2771	57.4663
k99_1331	14.2398	23.6497	68.7396
k99_1351	11.0205	22.245	66.5418
k99_1353	81.519	81.5065	105.509
k99_1355	83.614	81.5958	99.0899
k99_1362	72.5344	64.0829	43.3928
k99_1370	72.8763	68.6427	46.7965
k99_1377	78.1081	84.1208	104.325
k99_1379	81.1742	87.2217	107.703
k99_1380	79.1811	85.9011	96.8956
k99_1381	76.3621	49.7777	52.5276
k99_1384	83.3396	82.2898	108.96
k99_1387	104.871	118.819	96.1196
k99_1389	81.7731	85.8062	110.386
k99_1396	80.3371	81.4519	111.29
k99_1398	69.1897	68.4743	50.2103
k99_1401	79.8838	84.994	107.237
k99_1404	81.8904	91.2947	110.35
k99_1416	80.2186	82.6006	109.42
k99_1422	78.1682	86.2517	114.002
k99_1424	79.055	87.5912	110.767
k99_1427	82.6808	85.8202	107.362
k99_1430	86.0059	85.3613	113.812
k99_1433	102.442	116.238	94.6023
k99_1439	82.704	84.169	118.876
k99_1441	76.9686	50.3722	54.9933
k99_1444	80.9585	87.5817	111.571
k99_1452	81.3917	81.6821	106.42
k99_1462	79.6795	81.9067	102.551
k99_1472	102.404	116.561	95.892
k99_1481	102.186	116.073	91.9957
k99_1484	82.7701	79.8899	103.45
k99_1487	16.8829	24.4127	69.4511
k99_1489	79.6399	81.6365	106.317
k99_1494	80.4048	84.3683	112.312
k99_1496	72.9294	66.3676	44.0156
k99_1497	9.60362	5.92379	0
k99_1499	82.9308	87.0367	115.989
k99_1503	73.9358	64.8693	45.4547
k99_1504	80.4436	84.7494	109.153
k99_1506	82.2645	84.1573	110.363
k99_1510	82.1396	81.8821	108.6
k99_1512	70.02	64.9071	46.2391
k99_1528	102.244	118.964	93.0915
k99_1529	85.9718	66.6977	70.1785
k99_1531	101.467	117.145	95.2642
k99_1547	76.4713	90.9522	110
k99_1550	79.435	87.2155	112.588
k99_1555	78.9178	83.197	108.072
k99_1557	80.0956	85.8426	111.021
k99_1563	76.0411	80.1602	103.649
k99_1565	10.3415	4.19353	0
k99_1585	83.4127	88.0941	111.26
k99_1588	77.8203	82.9415	116.181
k99_1589	72.4692	65.3056	45.8383
k99_1594	30.781	51.5616	37.8433
k99_1597	31.5212	40.6558	85.7804
k99_1613	81.672	85.1319	112.522
k99_1623	103.146	117.107	94.8516
k99_1629	81.2505	84.2819	119.121
k99_1641	78.5652	87.5485	98.8857
k99_1642	75.6035	85.233	110.626
k99_1643	76.6544	88.1357	98.6339
k99_1644	83.7053	84.2709	92.8043
k99_1651	11.6895	21.3711	68.8302
k99_1661	68.1399	61.3553	46.1509
k99_1665	81.2998	82.6771	112.847
k99_1671	30.5071	50.2287	37.5608
k99_1686	12.1781	4.91778	0
k99_1687	40.8637	35.4642	54.6932
k99_1688	104.278	117.157	98.2622
k99_1692	74.8637	87.5667	107.983
k99_1696	83.4918	83.4327	114.544
k99_1697	80.1839	85.0591	108.37
k99_1700	12.3789	21.6607	65.9253
k99_1704	25.2374	14.712	5.1415
k99_1717	79.7824	82.2437	109.254
k99_1722	79.4302	93.0745	109.356
k99_1730	81.2224	86.0312	111.419
k99_1735	102.017	117.544	95.3176
k99_1738	69.3935	68.0891	46.2014
k99_1739	72.3754	75.6257	96.4175
k99_1744	41.541	35.9591	54.0105
k99_1748	78.9197	76.5585	97.6915
k99_1749	75.975	71.5004	89.2459
k99_1761	25.639	15.5228	5.11013
k99_1765	82.7034	83.8613	116.738
k99_1766	81.224	88.151	109.242
k99_1768	82.511	86.2968	104.705
k99_1772	78.5368	90.9455	118.928
k99_1773	82.0938	84.1435	113.149
k99_1783	83.3804	81.4888	112.649
k99_1791	9.49761	5.53469	0
k99_1801	78.9534	81.2027	107.378
k99_1802	84.4839	85.2634	103.974
k99_1807	9.75593	19.2085	73.7508
k99_1812	30.6341	50.78	36.9438
k99_1813	9.34743	19.6716	69.9351
k99_1817	80.4105	89.8042	100.507
k99_1819	79.3273	82.4503	98.6292
k99_1820	77.879	83.1624	112.637
k99_1821	82.5954	88.5867	105.555
k99_1823	82.5955	85.9087	112.306
k99_1836	11.4376	21.3395	68.7256
k99_1842	10.0338	4.82336	0
k99_1845	102.106	117.079	96.2358
k99_1846	25.9304	16.0963	5.16593
k99_1848	82.829	82.5575	114.516
k99_1852	79.8602	89.2601	112.797
k99_1854	75.6326	75.6457	76.9363
k99_1867	78.1837	87.6899	102.555
k99_1872	83.9215	87.1831	113.458
k99_1877	87.1799	64.4135	69.9685
k99_1878	41.0696	35.3047	54.0729
k99_1884	32.2097	49.3251	37.8199
k99_1886	74.9685	82.2269	109.5
k99_1891	72.79	66.1834	47.1031
k99_1896	82.7493	87.0236	106.906
k99_1909	82.4324	80.913	110.081
k99_1911	80.0675	76.4691	97.6762
k99_1912	158.2	85.0311	0
k99_1917	82.1939	87.0788	114.15
k99_1922	11.5596	3.92783	0
k99_1923	82.576	83.4249	113.07
k99_1925	82.1786	85.0026	113.289
k99_1931	71.5173	59.7667	47.4704
k99_1932	38.1786	37.1215	51.2101
k99_1952	84.0158	84.7732	106.309
k99_1954	10.1395	21.7444	68.7778
k99_1959	80.3568	87.4276	109.75
k99_1961	70.1126	65.7711	47.2948
k99_1962	13.0875	23.101	71.5731
k99_1976	71.2226	67.7826	48.7537
k99_1978	85.7169	83.1517	111.876
k99_1982	82.1136	83.3857	108.787
k99_1984	81.3914	88.1284	111.521
k99_1993	81.4499	69.1595	104.707
k99_1997	81.9741	88.2714	109.982
k99_2001	29.4163	59.4261	219.234
k99_2008	9.64531	17.1198	68.0813
k99_2019	82.5439	87.8869	106.476
k99_2023	81.8758	84.0343	114.329
k99_2045	78.2611	86.078	106.801
k99_2050	9.95117	19.5722	67.0117
k99_2052	71.3064	64.0047	45.7848
k99_2054	64.3301	61.7038	46.9713
k99_2057	78.963	84.0746	106.454
k99_2060	79.2753	89.2469	113.154
k99_2063	103.707	119.771	95.797
k99_2067	25.8677	15.342	4.91937
k99_2069	10.1528	5.16774	0
k99_2083	30.6088	51.0039	36.8505
k99_2086	81.842	81.6237	109.785
k99_2089	79.5686	82.3188	112.751
k99_2093	102.36	114.087	94.7028
k99_2094	75.6434	77.6895	107.293
k99_2095	25.1343	15.1006	4.79979
k99_2097	79.8851	83.6348	97.815
k99_2102	86.3269	66.5727	68.3241
k99_2105	77.0968	88.5173	115.546
k99_2109	80.49	76.7125	95.7044
k99_2114	87.7154	88.9408	113.772
k99_2116	79.2894	86.1447	108.455
k99_2123	9.85646	19.3104	70.7287
k99_2125	102.196	115.662	94.9687
k99_2134	81.7635	82.6132	110.043
k99_2139	67.9368	62.1749	44.6346
k99_2141	80.0081	85.4344	115.605
k99_2151	75.7057	83.7835	111.684
k99_2153	13.7745	26.642	67.0186
k99_2160	75.311	83.0431	100.833
k99_2162	37.341	32.7415	54.351
k99_2163	83.7607	88.5752	111.127
k99_2165	25.4611	15.2001	5.09703
k99_2170	79.3006	84.7841	112.982
k99_2178	82.624	90.472	108.795
k99_2179	79.1132	82.2147	111.149
k99_2180	83.8381	84	105.04
k99_2183	12.8913	8.07049	0
k99_2185	80.7326	76.7906	90.8789
k99_2186	84.8471	79.7346	110.657
k99_2190	25.3521	15.1694	4.82852
k99_2194	101.739	115.741	95.6156
k99_2201	80.8858	81.8875	107.955
k99_2205	78.8987	84.8417	100.485
k99_2206	82.3221	85.1262	116.096
k99_2210	81.0053	84.9444	114.332
k99_2211	80.1293	83.3302	110.62
k99_2214	30.4009	49.813	38.9953
k99_2217	82.3399	81.6605	112.188
k99_2221	87.5646	85.6335	118.295
k99_2224	86.4666	65.6894	69.5353
k99_2226	83.1416	83.5449	98.6693
k99_2229	25.0096	14.8652	4.85145
k99_2234	76.6762	78.5834	114.453
k99_2235	82.1409	84.4012	110.461
k99_2239	36.8785	37.2782	57.2013
k99_2243	76.5373	76.8438	100.269
k99_2252	77.1458	81.5234	105.082
k99_2253	79.929	83.8199	121.037
k99_2254	67.5619	68.8255	44.5603
k99_2257	83.6209	88.8324	111.633
k99_2260	78.0929	83.481	109.987
k99_2264	72.714	64.4442	46.9866
k99_2275	83.0891	88.0017	108.179
k99_2277	80.7708	84.2604	112.504
k99_2279	83.7208	86.5121	109.423
k99_2283	79.5829	79.8156	111.667
k99_2284	101.606	117.073	95.1656
k99_2286	14.9302	22.1315	69.6648
k99_2288	101.382	116.791	94.5546
k99_2291	80.6282	85.6251	113.495
k99_2294	78.2443	83.7033	108.63
k99_2300	80.574	82.3024	108.282
k99_2303	78.2739	83.7273	109.462
k99_2304	72.9796	79.3189	98.7436
k99_2306	26.7936	17.4918	6.00329
k99_2307	79.3128	80.0572	106.407
k99_2308	8.89866	19.6662	67.0559
k99_2312	9.46205	20.1687	72.3007
k99_2315	86.1992	65.5764	68.4183
k99_2324	74.4057	85.2589	103.764
k99_2328	67.9982	67.5882	44.8229
k99_2331	26.2925	15.7176	5.06374
k99_2333	78.2015	86.5039	115.753
k99_2338	102.206	116.383	96.256
k99_2344	78.6752	84.528	111.526
k99_2349	79.7027	84.4552	112.71
k99_2350	25.6102	15.7504	4.57525
k99_2355	69.7423	62.5429	45.9299
k99_2370	31.213	49.1581	37.1712
k99_2372	10.0192	22.2931	72.7271
k99_2375	96.3649	138.355	119.396
k99_2380	10.5967	4.86922	0
k99_2384	80.3423	83.7928	108.96
k99_2391	40.9584	35.6872	54.481
k99_2392	139.397	137.85	93.8389
k99_2394	79.3863	83.9926	108.53
k99_2398	80.5117	86.66	112.245
k99_2399	76.5107	50.3846	54.4106
k99_2402	70.7328	58.2489	44.3114
k99_2404	73.2805	84.9251	117.013
k99_2405	77.4155	79.8143	107.707
k99_2419	69.3674	65.9123	41.0239
k99_2422	79.0479	85.2584	106.94
k99_2423	83.4171	85.113	107.212
k99_2440	77.3211	87.3316	115.24
k99_2442	10.8703	20.5609	70.088
k99_2447	62.8784	91.2298	71.6674
k99_2450	77.9308	84.0659	108.971
k99_2454	12.8319	19.7091	73.6649
k99_2465	10.3933	19.5698	70.4708
k99_2468	11.4067	21.2661	67.201
k99_2469	79.5561	83.6159	108.69
k99_2474	77.8285	88.4804	112.401
k99_2477	78.3005	83.7668	100.379
k99_2478	82.4438	77.4951	113.836
k99_2484	40.697	35.589	54.573
k99_2490	78.4109	85.7648	109.655
k99_2495	83.8712	86.0208	108.228
k99_2505	39.1424	47.1165	82.7808
k99_2507	65.1039	60.771	48.5224
k99_2508	11.7085	23.0494	67.6952
k99_2510	81.0249	89.6843	106.754
k99_2516	77.3199	80.4137	112.121
k99_2517	75.8477	79.569	93.3697
k99_2526	79.7458	84.4599	103.198
k99_2528	101.983	116.723	95.5146
k99_2529	78.2263	86.7122	108.859
k99_2533	81.6394	81.6596	100.222
k99_2534	102.822	116.906	92.623
k99_2538	84.4291	87.0565	103.897
k99_2539	80.0624	85.6367	116.877
k99_2542	73.1265	67.1179	47.2397
k99_2543	80.2272	86.39	121.539
k99_2549	87.9791	86.8688	108.949
k99_2552	80.708	81.6553	117.534
k99_2554	81.5292	83.9821	110.98
k99_2555	80.0168	82.9144	112.454
k99_2557	82.403	81.287	114.948
k99_2558	82.8133	84.2041	111.849
k99_2568	81.247	79.7859	100.276
k99_2570	82.6356	83.9347	107.451
k99_2571	78.483	85.9027	111.597
k99_2585	80.939	84.274	109.887
k99_2592	78.679	86.588	115.308
k99_2595	102.287	116.461	95.5676
k99_2596	81.149	87.4988	113.061
k99_2597	25.764	16.0291	5.04935
k99_2598	57.6312	79.1215	65.2022
k99_2605	79.4644	85.5564	106.738
k99_2607	80.0667	86.9674	112.348
k99_2621	79.9359	85.8746	110.069
k99_2622	10.8908	22.8095	69.7828
k99_2625	55.8615	80.8992	64.1781
k99_2626	10.3508	20.6438	69.1452
k99_2634	89.2603	87.0056	113.799
k99_2639	79.4479	86.3874	112.822
k99_2648	78.8925	81.9862	105.753
k99_2653	74.0851	60.1165	38.4435
k99_2654	30.7932	50.9819	36.6461
k99_2655	76.8078	82.8972	105.71
k99_2664	9.50709	19.7972	71.0414
k99_2668	81.7303	82.3233	109.364
k99_2670	81.3806	84.4178	116.113
k99_2673	75.4503	78.4	78.9733
k99_2680	82.1363	85.2514	112.182
k99_2683	9.53957	17.6559	56.9017
k99_2692	10.2682	20.748	71.7727
k99_2699	86.5955	83.1628	113.925
k99_2700	76.5458	69.4377	46.8247
k99_2702	68.0586	72.7506	99.8558
k99_2704	25.6561	15.03	4.88269
k99_2708	74.5191	67.0578	45.3413
k99_2710	77.3685	83.8978	100.67
k99_2712	81.5655	83.5043	109.116
k99_2721	81.2594	88.6524	106.695
k99_2722	80.137	86.6171	102.408
k99_2729	97.8318	113.545	94.7125
k99_2734	81.2777	85.8286	104.533
k99_2735	9.9228	18.4704	67.0084
k99_2739	80.6331	86.4416	109.251
k99_2740	81.9976	84.9291	101.811
k99_2742	10.5667	22.4496	68.8605
k99_2746	79.4189	78.1955	107.485
k99_2750	63.6552	31.8185	0
k99_2756	75.9578	85.6044	108.176
k99_2757	10.4254	4.21345	0
k99_2766	76.889	64.9771	39.9879
k99_2768	80.731	87.3849	110.337
k99_2776	11.6953	20.2187	65.5344
k99_2781	101.993	54.2131	23.106
k99_2787	753.339	498.325	544.71
k99_2788	79.6444	85.5523	111.796
k99_2789	71.6621	65.0201	55.8323
k99_2797	77.804	86.8231	104.774
k99_2799	76.8549	65.0641	47.1206
k99_2804	241.941	406.15	299.498
k99_2806	77.1522	76.4049	98.0567
k99_2807	77.0139	90.6171	112.306
k99_2808	70.7552	63.7293	46.1463
k99_2810	81.7577	84.157	113.954
k99_2812	83.8144	87.6524	112.673
k99_2816	80.7183	82.8612	102.325
k99_2817	435.351	331.494	347.761
k99_2828	70.0569	66.5363	46.3272
k99_2833	15.2211	27.6354	73.3538
k99_2835	84.9303	82.8036	103.052
k99_2836	68.8413	87.5125	106.205
k99_2837	27.3914	16.2295	6.28102
k99_2842	82.332	88.9628	111.037
k99_2843	15.49	21.808	75.935
k99_2844	82.3412	87.2942	116.716
